NAME,Sum of TOTAL AUDIENCE
Adam Bresnu,768988
Adam Villanueva,949397
Algot Kleen,25583406
Andrew Goodman,28912
Andrew Swanson,33426948
Asher Vargas,2058259
Ashton McCulloch,1401663
Bailey Sutter,4576913
Ball State,11093920
Baylor Larrabee,3208090
Ben James,43133082
Benjamin Baker,771144
Benjamin Reuter,5913147
Billy Davis,12416
Bowen Ballis,545940
Brady McHenry,19564
Brady Rapp,14018
Brayden Miller,59756
Brendan Valdes,14148234
Brooks Simmons,38170075
Bryan Kim,357869
Bryan Lee,2148878
Buck Brumlow,465551
Caden Fioroni,9114863
Calum Scott,11887158
Cameron Adam,4348
Cameron Tankersley,3179088
Carson Bacha,16400462
Carson Baez,2002083
Carson Bertagnole,66256
Charles Nelson,13511839
Charlie Forster,2481870
Charlie Woods,1198482580
Chase Hughes,25304
Chase Kyes,1977027
Christiaan Maas,21300926
Clark Van Gaalen,3876133
Cole Ponich,320626
Cole Rueck,16305
Cole Stockard,262271
Coltrane Mittag,70646
Connor Williams,19564
Conor Gough,45591
Daniel Bennett,35168561
Daniel Choi,1971049
Daniel Svärd,178242
David Ford,33082284
Deven Patel,988162
Drake Harvey,521697
Drew Woolworth,36981
Dylan McDermott,40758
Edan Cui,29600
Enrique Dimayuga,0
Eric Doyle,1973516
Eric Lee,8210781
Eric Yun,1123115
Ethan Evans,6103997
Ethan Fang,3196593
Ethan Tseng,3004611
Filip Jakubcik,39944301
Gerardo Gomez,2403977
Giuseppe Puebla,0
Gordon Sargent,5147089
Gray Albright,731841
Greyson Leach,13176
Gunnar Broin,19229124
Hamilton Coleman,450097
Hampton Beebe,38040
Happy Gilmore,1626015
Henry Guan,579936
Henry Kuehne,697938
Hiroshi Tai,372504305
Hudson Lawson,57800
Hugo Le Goff,81010
Hunter Thomson,1241952
Ian Gilligan,35382879
Isaiah Ibit,1057804
JR Smith,76115342
Jack Bigham,401599
Jack Turner,23525070
Jack Wehman,5913147
Jackson Buchanan,24378935
Jackson Byrd,1285286
Jackson Herrington,20975000
Jackson Koivun,17231514
Jackson Van Paris,2133578
Jacob Modleski,11242008
Jaden Cantafio,1971049
Jaden Soong,0
Jaime Montojo,4173730
Jake Albert,55173
Jake Peacock,14025784
Jase Summy,10359265
Jay Leng Jr.,4201464
John Daly II,81597817
Johnny Walker,4310809
Jon Ed Steed,46186
Jose Luis Ballester Barrio,102094225
Josele Ballester,19498822
Joshua Kim,255728
Joshua Wang,3174
Josiah Gilbert,9659236
Justin Biwer,40758
Justin Hastings,288666999
Karen Brooks Harper,86949
Kelvin Hernandez,10234271
Kieron Van Wyk,5913147
Kihei Akina,1219385
Kris Kim,7403053
Liam Curtis,65212
Liam Pasternak,2008018
Logan Reilly,13890166
Louis Klein,94208
Luke Clanton,181492824
Luke Colton,90692161
Luke Potter,283121839
Luke Powell,3255034
Luke Sample,205140
Mahanth Chirravuri,2050990
Marcus Smith Jr,229125
Mason Howell,124376
Matthew Schafer,82176
Max Green,13586
Max Herendeen,6078828
Maxwell Ford,316313
Mesa Falleur,41016
Michael La Sasso,14424385
Michael Mjaaseth,14084279
Michael Riebe,16108575
Miles Russell,102131270
Morgan McDonough,12005
Nathan Franks,17386645
Nicholas Canitano,255414
Noah Chauvin,548277
Noah Kent,168525743
Omar Morales,11693213
Parker Bell,27388
Parker Sands,78903
Paul Chang,1795477
Pennson Badgett,1219358
Phichaksn Maichon,42728672
Preston Albee,106819
Preston Stout,10061400
Preston Summerhays,12938933
Ratchanon \,0
Ronin Banerjee,157596
Rory Asselta,8473123
Ryder Cowan,8699041
Sebastian Moss,3982856
Stephen Campbell Jr,827066
Sterling Hurd,925866
Talan Harrison,161158
Tim Wiedemeyer,6522
Ratchanon Chantananuwat,931768
Tom Fischer,7270025
Tommy Morrison,33801633
Tommy Morrissey,3319911
Trace Carter,2174
Trevor Gutschewski,906388
Tyler Loree,14380733
Tyler Sanford,42388
Tyler Watts,28035411
Tyler Weaver,1725023
Wells Williams,5121327
Wheaton Ennis,11337937
Will Hartman,360000
William Lisle,2174
William Sides,20650
Xihuan Chang,206339
Zac Jones,6433454
(blank),
Grand Total,3934755175
